INSTITUTE NAME,PLACE,lat,lng,source
"AAR MAHAVEER ENGINEERING
COLLEGE",BANDLAGUDA,17.308195,78.45666,google
"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,17.4379222,78.7161163,google
"ANNAMACHARYA INST OF
TECHNOLOGY AND SCI",HAYATHNAGAR,17.3076718,78.7366026,google
"ABDULKALAM INST OF
TECHNOLOGY AND SCI",KOTHAGUDEM,18.1124372,79.01929969999999,google
ANURAG ENGINEERING COLLGE,KODAD,17.0396998,79.97782769999999,google
ANURAG PHARMACY COLLEGE,KODADA,17.0401436,79.9764588,google
"ARJUN COLLEGE OF TECHNOLOGY
AND SCIENCE",BATASINGARAM,18.1124372,79.01929969999999,google
ARYA COLLEGE OF PHARMACY,KANDI,17.5852429,78.11760249999999,google
"AVANTHIS SCIENTIFIC TECH AND
RESEARCH ACADEMY",HAYATHNAGAR,18.1124372,79.01929969999999,google
"AURORAS TECHNOLOGICAL AND
RESEARCH INSTITUTE",PARVATHAPUR,18.1124372,79.01929969999999,google
AVANTHI INST OF PHARMSCI,HAYATHNAGAR,18.1124372,79.01929969999999,google
"AVANTHI INST OF ENGG AND
TECHNOLOGY",HAYATHNAGAR,18.1124372,79.01929969999999,google
AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,17.2458342,78.6204028,google
"AZAD COLLEGE OF ENGINEERING
AND TECHNOLOGY",MOINABAD,18.1124372,79.01929969999999,google
"BHARAT INSTITUTE OF ENGG AND
TECHNOLOGY",IBRAHIMPATNAM,18.1124372,79.01929969999999,google
BHARAT SCHOOL OF PHARMACY,IBRAHIMPATAN,17.2074821,78.600432,google
"BALAJI INSTITUTE OF
TECHNOLOGY AND SCI",NARSAMPET,18.1124372,79.01929969999999,google
"BOJJAM NARASIMHULU PHARM
COLL FOR WOMEN",SAIDABAD,17.3536908,78.5104296,google
"BOMMA INST OF TECHNOLOGY
AND SCI",KHAMMAM,17.2080296,80.2024059,google
