INST CODE,INSTITUTE NAME,PLACE,DIST,COED,COLLEGE TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSE,COMPUTER SCIENCE AND ENGINEERING,26303.0,26303,86999.0,86999,57408.0,70255,26303.0,26303,65938.0,65938,85977.0,99017,95181.0,113074,92961.0,118607,40634.0,53505,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",40918.0,55055,108367.0,111600,88878.0,116339,40918.0,55055,83466.0,101397,113868.0,113868,125450.0,125450,123488.0,123488,68772.0,76791,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,52680.0,97089,98439.0,98439,112273.0,118527,52680.0,97089,91412.0,112231,92750.0,97089,125323.0,125323,121767.0,124052,85742.0,99034,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,92254.0,92254,92254.0,108123,92254.0,102337,109513.0,109513,115206.0,115206,92254.0,93224,122491.0,125623,122995.0,124052,92254.0,92254,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,MEC,MECHANICAL ENGINEERING,118327.0,126088,118327.0,126088,118327.0,126088,118327.0,126088,118327.0,126088,118327.0,126088,126088.0,126088,118327.0,126088,118327.0,126088,60000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CIV,CIVIL ENGINEERING,97735.0,108732,97735.0,108732,113070.0,113070,97735.0,108732,112337.0,112337,97735.0,108732,125531.0,125531,119669.0,119669,97735.0,108732,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),31109.0,33478,67801.0,71111,51843.0,52291,34695.0,34695,45271.0,62238,86931.0,114306,107400.0,121606,70102.0,108288,35627.0,38780,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSE,COMPUTER SCIENCE AND ENGINEERING,20326.0,20326,55820.0,57250,38083.0,39834,20326.0,80628,33916.0,33916,47872.0,98462,58671.0,58671,57203.0,63467,25299.0,30373,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",37677.0,37677,70199.0,101743,47394.0,52867,71806.0,71806,42432.0,52112,82380.0,82380,102662.0,112481,72720.0,121382,38647.0,38825,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),41122.0,41139,114424.0,114424,63636.0,78526,50141.0,50141,53511.0,69422,97353.0,97353,119153.0,119153,83568.0,122938,41741.0,42370,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,44763.0,53196,113988.0,118180,72768.0,83852,44763.0,74514,64491.0,79430,114592.0,114628,124263.0,125853,99780.0,122763,54426.0,54426,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,61647.0,67014,96263.0,96263,121252.0,121252,61647.0,67014,103009.0,103009,61647.0,97443,125698.0,125698,102671.0,112833,77171.0,79621,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,INF,INFORMATION TECHNOLOGY,30636.0,33246,74607.0,92136,53448.0,53546,51445.0,51445,46895.0,61028,30636.0,33246,106510.0,121384,58244.0,70732,36981.0,39184,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,87035.0,111188,87035.0,111188,105039.0,111188,87035.0,111188,101539.0,111188,89280.0,111188,102640.0,111188,118996.0,118996,87035.0,111188,110000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,CIV,CIVIL ENGINEERING,107768.0,113173,107768.0,113173,111375.0,113173,107768.0,113173,107768.0,113173,107768.0,113173,121667.0,121667,107768.0,126050,107768.0,113173,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,CSE,COMPUTER SCIENCE AND ENGINEERING,45328.0,45328,116234.0,116466,111927.0,118370,89634.0,89634,92385.0,92385,117140.0,117140,125588.0,125588,118721.0,121031,76460.0,102973,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",32485.0,68256,102582.0,107519,101868.0,101868,32485.0,68256,97653.0,97653,101939.0,101939,125657.0,125657,80024.0,109549,81050.0,98175,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,81301.0,81301,107715.0,109225,109555.0,109555,81301.0,81301,110564.0,113830,81301.0,116204,100975.0,104769,125718.0,125718,112550.0,114964,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,91314.0,93413,117547.0,117547,96932.0,118370,91314.0,93413,115796.0,115796,91314.0,93413,123797.0,123797,122555.0,122818,91314.0,93413,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,MEC,MECHANICAL ENGINEERING,117856.0,117856,117856.0,117856,117856.0,117856,117856.0,117856,117856.0,117856,117856.0,117856,117856.0,117856,117856.0,117856,117856.0,117856,75000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,104658.0,109044,125725.0,125725,104658.0,109044,104658.0,109044,106699.0,111766,104658.0,109044,125517.0,125517,122844.0,122844,104658.0,109044,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,CIV,CIVIL ENGINEERING,115304.0,117646,115304.0,117646,115304.0,117646,115304.0,117646,115304.0,118728,115304.0,117646,125523.0,125523,123261.0,123261,115304.0,117646,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,CSE,COMPUTER SCIENCE AND ENGINEERING,53376.0,85081,113367.0,113367,110610.0,122960,89312.0,99520,93136.0,93136,95081.0,95081,94163.0,119575,75574.0,85081,71488.0,108071,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,55807.0,76906,109775.0,109775,62583.0,93676,55807.0,76906,107610.0,107610,104658.0,104658,124067.0,125034,125725.0,125725,55807.0,76906,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,45103.0,106699,124933.0,124933,125190.0,125190,45103.0,106699,45103.0,106699,110560.0,110560,126116.0,126116,121979.0,121979,45103.0,106699,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,MIN,MINING ENGINEERING,98018.0,98018,98018.0,98018,98018.0,98018,98018.0,98018,98018.0,98018,98018.0,98018,98018.0,98018,119158.0,119158,98018.0,98018,65000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CIV,CIVIL ENGINEERING,68290.0,93230,68290.0,93230,95572.0,95572,68290.0,93230,68290.0,93230,68290.0,93230,125814.0,125814,125932.0,125932,68290.0,93230,90000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,31766.0,66894,105402.0,112203,64880.0,66894,76868.0,76868,76001.0,76001,77941.0,84598,99756.0,99756,102549.0,121894,57637.0,79972,90000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",57043.0,86632,108158.0,108158,95572.0,105083,57043.0,86632,93095.0,93568,81276.0,86632,122921.0,122921,119718.0,119718,60487.0,86632,90000,JNTUH
