Inst Code,INSTITUTE NAME,Place,Dist Code,COED,COLLEGE TYPE,YEAR OF ESTB,BRANCH CODE,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,CSE,COMPUTER SCIENCE AND ENGINEERING,29938.0,29938.0,129031.0,148571.0,79270.0,79270.0,29938.0,80709.0,66675.0,88154.0,102225.0,102225.0,149080.0,149080.0,73548.0,177253.0,53223.0,57772.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),31292.0,31292.0,142694.0,142694.0,90021.0,91949.0,31292.0,31292.0,88826.0,107588.0,88515.0,103900.0,157702.0,157702.0,170044.0,170804.0,53269.0,53269.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,45167.0,45167.0,155296.0,155296.0,125800.0,125800.0,45167.0,45167.0,107586.0,116226.0,157375.0,157375.0,169699.0,169699.0,169382.0,169382.0,88222.0,88222.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,105276.0,105276.0,148809.0,158116.0,128544.0,158461.0,105276.0,105276.0,133151.0,134360.0,105276.0,105276.0,172354.0,175214.0,170070.0,178525.0,105276.0,143247.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,MEC,MECHANICAL ENGINEERING,39600.0,39600.0,154928.0,177817.0,163547.0,163547.0,142190.0,142190.0,122586.0,161291.0,123600.0,162441.0,172635.0,176589.0,158771.0,158771.0,161281.0,161281.0,60000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CIV,CIVIL ENGINEERING,47800.0,109029.0,135353.0,162197.0,122203.0,124232.0,47800.0,109029.0,110680.0,110680.0,143713.0,144598.0,168792.0,174914.0,168925.0,169615.0,111926.0,111926.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),30045.0,30045.0,70795.0,73042.0,54897.0,56117.0,148223.0,148223.0,54033.0,54033.0,80780.0,80780.0,99227.0,107709.0,125744.0,146241.0,35697.0,37441.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSE,COMPUTER SCIENCE AND ENGINEERING,28981.0,28981.0,64755.0,64755.0,47971.0,51168.0,89745.0,129991.0,46470.0,49932.0,78507.0,85471.0,90194.0,94719.0,109083.0,149765.0,32697.0,32697.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),29862.0,29862.0,70324.0,70324.0,49295.0,50046.0,29862.0,105104.0,49995.0,49995.0,85905.0,89407.0,96652.0,96823.0,116732.0,164152.0,35191.0,35282.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),37715.0,37715.0,87845.0,97603.0,72547.0,80266.0,37715.0,37715.0,63618.0,63618.0,142784.0,142784.0,124509.0,128507.0,147546.0,147546.0,42732.0,42732.0,110000.0,JNTUH
