Inst Code,INSTITUTE NAME,Place,Dist Code,COED,COLLEGE TYPE,YEAR OF ESTB,BRANCH CODE,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,CSE,COMPUTER SCIENCE AND ENGINEERING,26588.0,29938.0,52666.0,62471.0,38568.0,38568.0,26588.0,108434.0,38368.0,38368.0,53852.0,53852.0,70513.0,75671.0,70477.0,83930.0,30771.0,38034.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),37420.0,37420.0,72671.0,72671.0,49319.0,52239.0,37420.0,37420.0,52828.0,73705.0,70732.0,74189.0,94651.0,94651.0,100577.0,168832.0,47357.0,47357.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,54242.0,54242.0,101521.0,101521.0,76946.0,85866.0,54242.0,54242.0,75251.0,82142.0,134835.0,134835.0,125763.0,125763.0,119658.0,174032.0,82588.0,82588.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,70937.0,70937.0,146480.0,146480.0,109373.0,109373.0,70937.0,70937.0,108683.0,108683.0,70937.0,70937.0,162464.0,171633.0,131469.0,172264.0,97335.0,101749.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,MEC,MECHANICAL ENGINEERING,78553.0,117306.0,78553.0,117306.0,124311.0,124311.0,130268.0,130268.0,114574.0,135572.0,104771.0,145196.0,152472.0,156911.0,127265.0,127265.0,143809.0,143809.0,60000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CIV,CIVIL ENGINEERING,80955.0,83508.0,135353.0,145202.0,116671.0,116671.0,80955.0,83508.0,100006.0,100006.0,157796.0,157796.0,165028.0,176884.0,165208.0,173472.0,97967.0,97967.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),31984.0,31984.0,70795.0,70795.0,45278.0,45278.0,89745.0,108152.0,41539.0,41539.0,80780.0,80780.0,99227.0,107709.0,125744.0,146241.0,35134.0,35134.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSE,COMPUTER SCIENCE AND ENGINEERING,23711.0,23711.0,57406.0,57406.0,35719.0,35719.0,87671.0,87671.0,34098.0,34098.0,64109.0,74019.0,77511.0,77511.0,88227.0,116375.0,27936.0,27936.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),27860.0,27860.0,61373.0,61373.0,40349.0,40349.0,27860.0,99424.0,39077.0,39077.0,67133.0,67133.0,90130.0,90130.0,112785.0,133887.0,30484.0,30484.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),37808.0,37808.0,87845.0,94451.0,50143.0,56117.0,37808.0,37808.0,49866.0,49866.0,42888.0,123270.0,120531.0,120531.0,147546.0,176719.0,42732.0,42732.0,110000.0,JNTUH
