INST CODE,INSTITUTE NAME,PLACE,DIST,COED,COLLEGE TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
AARM,"AAR MAHAVEER ENGINEERING
COLLEGE",BANDLAGUDA,HYD,COED,PVT,2010,CSE,"COMPUTER SCIENCE AND
ENGINEERING",26935.0,47023,80090.0,80090,54323.0,91506,26935.0,47023,53812.0,70033,43444.0,90877,89382.0,89677,70043.0,70043,60761.0,61593,48000,JNTUH
AARM,"AAR MAHAVEER ENGINEERING
COLLEGE",BANDLAGUDA,HYD,COED,PVT,2010,CSM,"COMPUTER SCIENCE AND
ENGINEERING (ARTIFICIAL
INTELLIGENCE AND MACHINE
LEARNING)",57128.0,69125,98903.0,102777,97978.0,97978,95245.0,95245,95798.0,95798,112289.0,112289,117883.0,118818,57128.0,120527,72657.0,84274,48000,JNTUH
AARM,"AAR MAHAVEER ENGINEERING
COLLEGE",BANDLAGUDA,HYD,COED,PVT,2010,ECE,"ELECTRONICS AND
COMMUNICATION ENGINEERING",79896.0,79896,104223.0,104223,114841.0,114841,79896.0,79896,102562.0,105461,79896.0,79896,121146.0,121146,79896.0,79896,79896.0,93226,48000,JNTUH
AARM,"AAR MAHAVEER ENGINEERING
COLLEGE",BANDLAGUDA,HYD,COED,PVT,2010,EEE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",85833.0,85833,107455.0,107455,111279.0,119103,85833.0,85833,85833.0,96049,85833.0,85833,114298.0,114298,85833.0,85833,85833.0,85833,48000,JNTUH
AARM,"AAR MAHAVEER ENGINEERING
COLLEGE",BANDLAGUDA,HYD,COED,PVT,2010,MEC,MECHANICAL ENGINEERING,120983.0,120983,120983.0,120983,120983.0,120983,120983.0,120983,120983.0,120983,120983.0,120983,120983.0,120983,120983.0,120983,120983.0,120983,48000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,CIV,CIVIL ENGINEERING,25471.0,27922,117847.0,117847,119228.0,119228,25471.0,27922,113753.0,113753,25471.0,114957,121412.0,121412,78789.0,120222,25471.0,27922,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,CSD,"COMPUTER SCIENCE AND
ENGINEERING (DATA SCIENCE)",31438.0,31438,79168.0,89371,52100.0,53546,40117.0,40117,45724.0,45724,76522.0,94193,97278.0,97278,63600.0,76769,39954.0,44289,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,CSE,"COMPUTER SCIENCE AND
ENGINEERING",22370.0,29631,45073.0,62671,36733.0,43148,69778.0,69778,38578.0,38578,59677.0,68174,66887.0,82811,59104.0,77602,33990.0,33990,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,CSM,"COMPUTER SCIENCE AND
ENGINEERING (ARTIFICIAL
INTELLIGENCE AND MACHINE
LEARNING)",43220.0,43220,94157.0,98646,57510.0,79965,103971.0,103971,56274.0,56274,61042.0,84200,120318.0,120318,104598.0,115294,46948.0,51927,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,CSO,"COMPUTER SCIENCE AND
ENGINEERING (IOT)",48413.0,57127,83497.0,110447,78725.0,78725,48413.0,57127,57423.0,57423,94474.0,94474,118379.0,118379,117222.0,117222,64528.0,64528,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,ECE,"ELECTRONICS AND
COMMUNICATION ENGINEERING",39027.0,40651,112896.0,112896,110826.0,110826,39027.0,40651,82415.0,86978,110306.0,112295,120714.0,121084,114932.0,116742,61489.0,101663,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,EEE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",117331.0,117331,117331.0,117331,117331.0,117331,117331.0,117331,117331.0,117331,117331.0,117331,117331.0,117331,117331.0,117331,117331.0,117331,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,INF,INFORMATION TECHNOLOGY,27337.0,27781,90758.0,90758,61294.0,70776,27337.0,27781,62532.0,68880,72245.0,72245,84601.0,118977,95531.0,119868,46464.0,46464,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,100647.0,100647,100647.0,100647,100647.0,100647,100647.0,100647,100647.0,100647,100647.0,100647,100647.0,100647,100647.0,100647,100647.0,100647,82000,JNTUH
AITH,"ANNAMACHARYA INST OF
TECHNOLOGY AND SCI",HAYATHNAGAR,RR,COED,PVT,2005,CIV,CIVIL ENGINEERING,116465.0,116465,116465.0,116465,116465.0,116465,116465.0,116465,116465.0,116465,116465.0,116465,116465.0,116465,116465.0,116465,116465.0,116465,66000,JNTUH
AITH,"ANNAMACHARYA INST OF
TECHNOLOGY AND SCI",HAYATHNAGAR,RR,COED,PVT,2005,CSE,"COMPUTER SCIENCE AND
ENGINEERING",73180.0,73180,115263.0,115263,104697.0,111811,73180.0,90151,86559.0,106392,111627.0,111780,121183.0,121183,120185.0,120185,107703.0,107703,66000,JNTUH
AITH,"ANNAMACHARYA INST OF
TECHNOLOGY AND SCI",HAYATHNAGAR,RR,COED,PVT,2005,ECE,"ELECTRONICS AND
COMMUNICATION ENGINEERING",34209.0,84065,34209.0,84065,99812.0,107034,34209.0,84065,102044.0,102044,113986.0,113986,118131.0,118131,95805.0,95805,55722.0,84065,66000,JNTUH
AITH,"ANNAMACHARYA INST OF
TECHNOLOGY AND SCI",HAYATHNAGAR,RR,COED,PVT,2005,EEE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",121314.0,121314,121314.0,121314,121314.0,121314,121314.0,121314,121314.0,121314,121314.0,121314,121314.0,121314,121314.0,121314,121314.0,121314,66000,JNTUH
AITH,"ANNAMACHARYA INST OF
TECHNOLOGY AND SCI",HAYATHNAGAR,RR,COED,PVT,2005,MEC,MECHANICAL ENGINEERING,86515.0,86515,86515.0,86515,86515.0,86515,86515.0,86515,86515.0,86515,86515.0,86515,86515.0,86515,86515.0,86515,86515.0,86515,66000,JNTUH
AKIT,"ABDULKALAM INST OF
TECHNOLOGY AND SCI",KOTHAGUDEM,KGM,COED,PVT,2007,CIV,CIVIL ENGINEERING,73722.0,86118,102254.0,102254,117513.0,117513,73722.0,86118,120427.0,120427,73722.0,103093,117105.0,120963,87815.0,120264,74539.0,86118,52000,JNTUH
AKIT,"ABDULKALAM INST OF
TECHNOLOGY AND SCI",KOTHAGUDEM,KGM,COED,PVT,2007,CSE,"COMPUTER SCIENCE AND
ENGINEERING",67986.0,76198,86688.0,86688,114976.0,114976,80081.0,80081,88203.0,88203,89509.0,89509,117940.0,117940,119875.0,119875,102071.0,102071,52000,JNTUH
