Inst Code,INSTITUTE NAME,Place,Dist Code,COED,COLLEGE TYPE,YEAR OF ESTB,BRANCH CODE,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
JNTH,JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,HYDERABAD,MDL,COED,UNIV,1965,CSE,COMPUTER SCIENCE AND ENGINEERING,1594.0,1738,4274.0,5698,2051.0,2051,1594.0,1738,2885.0,2885,2365.0,2365,8611.0,10302,8653.0,8653,2525.0,2525,50000,JNTUH
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,COED,PVT,1979,CSE,COMPUTER SCIENCE AND ENGINEERING,2447.0,2796,4952.0,6333,3126.0,3126,10181.0,10181,3448.0,3448,4250.0,5447,12557.0,12557,13533.0,16759,2447.0,3023,140000,OU
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,CSE,COMPUTER SCIENCE AND ENGINEERING,2459.0,2459,5228.0,5335,3177.0,3727,5242.0,12361,3698.0,4232,4798.0,4924,12440.0,13734,16747.0,18382,2507.0,2507,135000,JNTUH
JNTH,JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,HYDERABAD,MDL,COED,UNIV,1965,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),2486.0,2623,6366.0,6366,3158.0,3901,2486.0,2623,3716.0,4556,6244.0,6244,12704.0,12704,10690.0,10690,3189.0,3189,100000,JNTUH
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,COED,PVT,1979,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),2550.0,3000,5589.0,5589,3197.0,3883,2550.0,3000,2847.0,4716,4601.0,4601,15207.0,15207,16084.0,16084,2952.0,3741,140000,OU
OUCE,O U COLLEGE OF ENGG  HYDERABAD,HYDERABAD,HYD,COED,UNIV,1925,CSE,COMPUTER SCIENCE AND ENGINEERING,3116.0,3279,7684.0,7684,3545.0,5276,5687.0,5687,4151.0,5403,4306.0,4306,10042.0,10042,13470.0,15042,3367.0,3447,50000,OU
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),3188.0,3234,6572.0,6646,4120.0,4704,7259.0,7259,5593.0,5593,5294.0,12793,16688.0,18233,21884.0,23695,3188.0,3234,135000,JNTUH
VASV,VASAVI COLLEGE OF ENGINEERING,HYDERABAD,HYD,COED,PVT,1981,CSE,COMPUTER SCIENCE AND ENGINEERING,3207.0,3341,8620.0,11354,4782.0,4782,12034.0,12034,4502.0,5691,6508.0,6916,17333.0,20957,17781.0,27323,3207.0,3458,140000,OU
JNTH,JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,HYDERABAD,MDL,COED,UNIV,1965,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),3281.0,4080,7945.0,12316,5957.0,6989,3281.0,10576,6469.0,10107,8377.0,9033,13372.0,13372,13388.0,18188,4213.0,5805,100000,JNTUH
JNTH,JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,HYDERABAD,MDL,COED,UNIV,1965,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,3651.0,6307,12520.0,12520,7340.0,7523,5143.0,6307,5937.0,6307,4791.0,6307,16857.0,16857,12169.0,16057,6263.0,6307,50000,JNTUH
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,COED,PVT,1979,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,3815.0,3815,7888.0,12714,5486.0,9162,23320.0,23320,6049.0,6674,4796.0,4796,19819.0,23483,22562.0,22634,4880.0,4880,140000,OU
VASV,VASAVI COLLEGE OF ENGINEERING,HYDERABAD,HYD,COED,PVT,1981,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),3824.0,3904,7828.0,13128,5142.0,6064,3824.0,3904,5981.0,5981,3824.0,8084,18796.0,21810,26917.0,26917,3866.0,4866,140000,OU
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),4048.0,4264,8732.0,10062,5561.0,5905,15906.0,15906,6289.0,6289,8448.0,13934,22797.0,23956,27096.0,27096,4125.0,4386,135000,JNTUH
VJEC,V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,4233.0,4233,9205.0,14071,8627.0,8627,39848.0,39848,5634.0,7854,10380.0,11697,23707.0,23707,22874.0,31449,4233.0,4877,135000,JNTUH
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,COED,PVT,1979,CIC,CSE (IoT AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY),4275.0,5118,9884.0,13224,5573.0,7398,4275.0,28082,7007.0,8549,4275.0,11304,20497.0,20497,27849.0,27849,4275.0,5118,140000,OU
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,COED,PVT,1979,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,4333.0,5399,13872.0,13872,6936.0,11274,4333.0,5399,5595.0,8059,8168.0,8168,22005.0,23121,23734.0,36206,4720.0,5819,140000,OU
